Isolate.ID,DirTax_Class,Cluster.x,TotalIso.x,Inhibitory.x,NonInhibitory.x,Null,Contam,prop.inhib,prop.noninhib,prop.na,prop.contam,Closest_Cluster,Inhibition,DirTax_Phylum,Cluster.y,TotalIso.y,Inhibitory.y,NonInhibitory.y,Reason
Mada.2578,Actinobacteria,399,2,1,1,0,0,50,50,0,0,0.019249182349643845,Inhibitory,Actinobacteria,399,,2,1,
Mada.2709,Actinobacteria,405,12,1,10,0,0,8.333333333333332,83.33333333333334,0,0,0.019150192,NonInhibitory,Actinobacteria,405,,1,2,
Mada.2805,Actinobacteria,375,2,1,1,0,0,50,50,0,0,0.019780679,NonInhibitory,Actinobacteria,375,,NA,NA,
Mada.2816,Actinobacteria,306,8,2,5,1,0,25,62.5,12.5,0,0.009594244,NonInhibitory,Actinobacteria,306,,2,1,
Mada.2819,Actinobacteria,338,7,2,3,2,0,28.57142857142857,42.857142857142854,28.57142857142857,0,0.019249182349643845,NonInhibitory,Actinobacteria,338,,NA,NA,
Mada.2827,Actinobacteria,251,4,1,2,1,0,25,50,25,0,0.009594244,Facilitating,Actinobacteria,251,,NA,NA,
Mada.2832,Actinobacteria,442,7,1,4,1,0,14.285714285714285,57.14285714285714,14.285714285714285,0,0.009594244,NonInhibitory,Actinobacteria,442,,NA,NA,
Mada.2846,Actinobacteria,407,11,6,3,1,1,54.54545454545454,27.27272727272727,9.090909090909092,9.090909090909092,0.019249182349643845,NonInhibitory,Actinobacteria,407,,6,2,
Mada.2895,Actinobacteria,410,4,2,2,0,0,50,50,0,0,0.019249182349643845,NonInhibitory,Actinobacteria,410,,2,2,
Mada.2916,Actinobacteria,959,5,1,4,0,0,20,80,0,0,0.009594244,NonInhibitory,Actinobacteria,959,,1,3,
Mada.2947,Actinobacteria,321,2,1,1,0,0,50,50,0,0,NA,NonInhibitory,Actinobacteria,321,,NA,NA,
Mada.2951,Actinobacteria,349,6,4,2,0,0,66.66666666666666,33.33333333333333,0,0,0.009594244,Inhibitory,Actinobacteria,349,,NA,NA,
Mada.2969,Actinobacteria,412,8,4,2,1,1,50,25,12.5,12.5,0.009594244,NonInhibitory,Actinobacteria,412,,NA,NA,
Mada.2982,Actinobacteria,430,3,2,1,0,0,66.66666666666666,33.33333333333333,0,0,0.009594244,NonInhibitory,Actinobacteria,430,,2,2,
Mada.3175,Actinobacteria,83,6,2,2,2,0,33.33333333333333,33.33333333333333,33.33333333333333,0,0.009594244,NonInhibitory,Actinobacteria,83,,2,2,
Mada.3189,Actinobacteria,743,3,1,2,0,0,33.33333333333333,66.66666666666666,0,0,0.019249182349643845,Inhibitory,Actinobacteria,743,,2,1,
Mada.3224,Actinobacteria,382,2,1,1,0,0,50,50,0,0,0.009594244,Inhibitory,Actinobacteria,382,,2,1,
Mada.3265,Actinobacteria,329,2,1,1,0,0,50,50,0,0,0.019249182349643845,Inhibitory,Actinobacteria,329,,NA,NA,
Mada.3289,Actinobacteria,330,3,1,2,0,0,33.33333333333333,66.66666666666666,0,0,0.019249182349643845,NonInhibitory,Actinobacteria,330,,1,2,
Mada.3345,Actinobacteria,222,10,2,6,2,0,20,60,20,0,0.019249182349643845,Inhibitory,Actinobacteria,222,,3,1,
Mada.3346,Actinobacteria,215,3,1,2,0,0,33.33333333333333,66.66666666666666,0,0,0.019249182349643845,Inhibitory,Actinobacteria,215,,2,1,
Mada.3372,Actinobacteria,244,5,1,3,1,0,20,60,20,0,0.009594244,Inhibitory,Actinobacteria,244,,NA,NA,
Mada.3382,Actinobacteria,186,4,1,2,1,0,25,50,25,0,0.019271787,NonInhibitory,Actinobacteria,186,,1,3,
Mada.3394,Actinobacteria,195,7,1,5,1,0,14.285714285714285,71.42857142857143,14.285714285714285,0,0.009594244,Inhibitory,Actinobacteria,195,,2,2,
Mada.3456,Actinobacteria,146,13,1,11,0,1,7.6923076923076925,84.61538461538461,0,7.6923076923076925,0.009594244,NonInhibitory,Actinobacteria,146,,NA,NA,
Mada.346,Actinobacteria,502,6,1,5,0,0,16.666666666666664,83.33333333333334,0,0,0.019249182349643845,Inhibitory,Actinobacteria,502,,2,2,
Mada.350,Actinobacteria,518,28,9,19,0,0,32.142857142857146,67.85714285714286,0,0,0.019249182349643845,NonInhibitory,Actinobacteria,518,,9,4,
Mada.3504,Actinobacteria,230,5,4,1,0,0,80,20,0,0,0.009594244,Inhibitory,Actinobacteria,230,,NA,NA,
Mada.3550,Actinobacteria,158,4,2,2,0,0,50,50,0,0,0.019249182349643845,NonInhibitory,Actinobacteria,158,,NA,NA,
Mada.3553,Actinobacteria,175,3,2,1,0,0,66.66666666666666,33.33333333333333,0,0,0.009594244,NonInhibitory,Actinobacteria,175,,NA,NA,
Mada.3567,Actinobacteria,299,2,1,1,0,0,50,50,0,0,0.009594244,NonInhibitory,Actinobacteria,299,,NA,NA,
Mada.3705,Actinobacteria,366,4,3,1,0,0,75,25,0,0,0.009594244,Inhibitory,Actinobacteria,366,,NA,NA,
Mada.3747,Actinobacteria,575,4,3,1,0,0,75,25,0,0,0.019249182349643845,NA,Actinobacteria,575,,3,1,
Mada.3762,Actinobacteria,188,4,3,1,0,0,75,25,0,0,0.009594244,Inhibitory,Actinobacteria,188,,4,1,
Mada.3777,Actinobacteria,200,3,2,1,0,0,66.66666666666666,33.33333333333333,0,0,0.009594244,Inhibitory,Actinobacteria,200,,NA,NA,
Mada.3783,Actinobacteria,201,2,1,1,0,0,50,50,0,0,0.009594244,Inhibitory,Actinobacteria,201,,2,1,
Mada.3825,Actinobacteria,760,13,10,2,0,1,76.92307692307693,15.384615384615385,0,7.6923076923076925,0.019249182349643845,Inhibitory,Actinobacteria,760,,NA,NA,
Mada.3853,Actinobacteria,761,32,6,23,3,0,18.75,71.875,9.375,0,0.019249182349643845,NonInhibitory,Actinobacteria,761,,6,4,
Mada.3902,Actinobacteria,581,6,4,2,0,0,66.66666666666666,33.33333333333333,0,0,0.019249182349643845,NA,Actinobacteria,581,,4,2,
Mada.4099,Actinobacteria,597,6,4,1,1,0,66.66666666666666,16.666666666666664,16.666666666666664,0,0.009594244,NA,Actinobacteria,597,,NA,NA,
Mada.4128,Actinobacteria,604,5,2,3,0,0,40,60,0,0,0.009594244,NA,Actinobacteria,604,,2,2,
Mada.4132,Actinobacteria,608,5,3,1,1,0,60,20,20,0,0.009594244,NA,Actinobacteria,608,,NA,NA,
Mada.4185,Actinobacteria,628,6,1,1,4,0,16.666666666666664,16.666666666666664,66.66666666666666,0,0.019249182349643845,NA,Actinobacteria,628,,NA,NA,
Mada.466,Actinobacteria,668,2,1,1,0,0,50,50,0,0,0.009594244,Inhibitory,Actinobacteria,668,,2,1,
